Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Time_point,Treatment,days_post_drug,drug_dose,ethambutol_dose,compound,strain_name,strain_origin
SRR6360037,RNA-Seq,202,931429676,PRJNA421561,SAMN08146680,372852127,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456099,GSM2881195,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881195,M. tuberculosis H37Rv,SRP126361,4hrs,control,,,,,,
SRR6360038,RNA-Seq,202,1080657782,PRJNA421561,SAMN08146679,430440264,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456100,GSM2881196,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881196,M. tuberculosis H37Rv,SRP126361,4hrs,control,,,,,,
SRR6360039,RNA-Seq,202,2343973458,PRJNA421561,SAMN08146678,940119858,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456101,GSM2881197,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881197,M. tuberculosis H37Rv,SRP126361,4hrs,control,,,,,,
SRR6360040,RNA-Seq,202,860597972,PRJNA421561,SAMN08146677,344112702,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456102,GSM2881198,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881198,M. tuberculosis H37Rv,SRP126361,4hrs,ciprofloxacin,,,,,,
SRR6360041,RNA-Seq,202,958647156,PRJNA421561,SAMN08146676,383399879,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456103,GSM2881199,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881199,M. tuberculosis H37Rv,SRP126361,4hrs,ciprofloxacin,,,,,,
SRR6360042,RNA-Seq,202,954265776,PRJNA421561,SAMN08146675,381070711,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456104,GSM2881200,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881200,M. tuberculosis H37Rv,SRP126361,4hrs,ciprofloxacin,,,,,,
SRR6360043,RNA-Seq,202,1142257480,PRJNA421561,SAMN08146674,460283108,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456105,GSM2881201,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881201,M. tuberculosis H37Rv,SRP126361,4hrs,isoniazid,,,,,,
SRR6360044,RNA-Seq,202,1015913550,PRJNA421561,SAMN08146673,410797743,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456106,GSM2881202,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881202,M. tuberculosis H37Rv,SRP126361,4hrs,isoniazid,,,,,,
SRR6360045,RNA-Seq,202,1130519260,PRJNA421561,SAMN08146672,455859437,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456107,GSM2881203,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881203,M. tuberculosis H37Rv,SRP126361,4hrs,isoniazid,,,,,,
SRR6360046,RNA-Seq,202,1146988320,PRJNA421561,SAMN08146671,459274479,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3456108,GSM2881204,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis H37Rv,ILLUMINA,2018-04-13T00:00:00Z,GSM2881204,M. tuberculosis H37Rv,SRP126361,4hrs,ethambutol,,,,,,
